"spatialunit_uid","spatialunit_current_id","spatialunit_ontology","name","name_de","name_fr","name_it","country","canton","district","municipal","residence_area","neighborhood","region","zone","spatialunit_hist_id","canton_hist_id","district_hist_id","valid_from","valid_until"
"4193_A.ADM3",4193,Municipality,Brunegg,Brunegg,Brunegg,Brunegg,false,false,false,true,false,false,false,false,11472,19,10020,1960-01-01,2999-12-31
"1085_A.ADM3",1085,Municipality,Geuensee,Geuensee,Geuensee,Geuensee,false,false,false,true,false,false,false,false,15548,3,10301,2013-01-01,2999-12-31
"619_A.ADM3",619,Municipality,Oberdiessbach,Oberdiessbach,Oberdiessbach,Oberdiessbach,false,false,false,true,false,false,false,false,15635,2,10288,2014-01-01,2999-12-31
"5008_A.ADM3",5008,Municipality,Gudo,Gudo,Gudo,Gudo,false,false,false,true,false,false,false,false,11963,21,10007,1960-01-01,2017-04-01
"4261_A.ADM3",4261,Municipality,Wallbach,Wallbach,Wallbach,Wallbach,false,false,false,true,false,false,false,false,10462,19,10018,1960-01-01,2999-12-31
"2150_A.ADM3",2150,Municipality,Romanens,Romanens,Romanens,Romanens,false,false,false,true,false,false,false,false,12928,10,10105,1960-01-01,2000-12-31
"994_A.ADM3",994,Municipality,Wanzwil,Wanzwil,Wanzwil,Wanzwil,false,false,false,true,false,false,false,false,14042,2,10245,1994-01-01,2008-12-31
"4832_A.ADM3",4832,Municipality,Müllheim,Müllheim,Müllheim,Müllheim,false,false,false,true,false,false,false,false,11270,20,10009,1960-01-01,1967-05-31
"40_A.ADM3",40,Municipality,Trüllikon,Trüllikon,Trüllikon,Trüllikon,false,false,false,true,false,false,false,false,10898,1,10082,1960-01-01,2999-12-31
"5475_A.ADM3",5475,Municipality,Chavannes-le-Veyron,Chavannes-le-Veyron,Chavannes-le-Veyron,Chavannes-le-Veyron,false,false,false,true,false,false,false,false,14853,22,10279,2006-09-01,2999-12-31
"1502_A.ADM2",1502,District,Bezirk Mittelland,Bezirk Mittelland,Bezirk Mittelland,Bezirk Mittelland,false,false,true,false,false,false,false,false,10098,15,10098,1960-01-01,2999-12-31
"4729_A.ADM3",4729,Municipality,Oberwangen,Oberwangen,Oberwangen,Oberwangen,false,false,false,true,false,false,false,false,11181,20,10010,1960-01-01,1971-12-31
"1055_A.ADM3",1055,Municipality,Gisikon,Gisikon,Gisikon,Gisikon,false,false,false,true,false,false,false,false,15550,3,10299,2013-01-01,2999-12-31
